Move,Type,Category,Power Modifier 1,Power,Power Modifier 2,Accuracy Modifier 1,Accuracy Modifier 2,Target,Effect
Signal Beam,Bug,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 10 Confuse the Target.
Silk Trap,Bug,SUPPORT,,,,ENDURANCE,ALERT,User,"Priority +5. Shield Move. Decrease any damage the User would receive from all Actions by a Physical or Special move to zero, and negate the move's effects. Negate the effects of Support moves that Target the User. Decrease to zero the set damage from a move the User would take. If the Target was using a Non-Ranged Physical move, decrease the Target's Dexterity by 1. Silk Trap stops all OHKO moves."
Silver Wind,Bug,SPECIAL,SPECIAL,2,,BEAUTY,CHANNEL,Single Target,On a Chance Dice roll of 10 Increase User's Strength. Dexterity. Special. Defense. Special Defense.
Simple Beam,Normal,SUPPORT,,0,,SPIRIT,NATURE,Single Target,The Target's Ability is Simple.
Sing,Normal,SUPPORT,,0,,CUTE,PERFORM,Single Target,Sound Based. The Target is Asleep. The User removes 4 Successes from the Accuracy Roll.
Sketch,Normal,SUPPORT,,0,,CLEVER,PERFORM,Single Target,Permanently copy the move the Target used last. Once Copied Sketch disappears.
Skill Swap,Psychic,SUPPORT,,0,,CLEVER,PERFORM,Single Target,The User's Ability is swapped with the Target's Ability. Skill Swap can not be Evaded and ignores the User's Accuracy decreases.
Skitter Smack,Bug,PHYSICAL,STRENGTH,3,,DEXTERITY,STEALTH,Single Target,Decrease the Target’s Special by 1. The User removes 1 Success from the Accuracy Roll.
Skull Bash,Normal,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Single Target,Charge. Increase the User’s Defense by 1.
Sky Attack,Flying,PHYSICAL,STRENGTH,6,,STRENGTH,BRAWL,Single Target,High Critical. Charge Move. On a Chance Dice roll of 8 or higher Flinch the Target. The User removes 1 Success from the Accuracy Roll.
Sky Drop,Flying,PHYSICAL,STRENGTH,2,,STRENGTH,ATHLETICS,Single Target,"Charge Move. The Target is Flinched while the User is charging. The User and Target can not be targeted while charging Sky Drop. The User and Target may still be targeted by Gust, Thunder, Twister, Sky Uppercut, Hurricane, and Smack Down. Flying-Type Pokémon are immune to the damage of Sky Drop. Lifting a Target is restricted by the Strength of the User, refer to the Rulebook for Strength limits. If Gravity is in effect Sky Drop fails."
Sky Uppercut,Fighting,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,"Sky Uppercut can still target Pokemon that are charging the moves Fly, Bounce, and Sky Drop. The User removes 1 Success from the Accuracy Roll."
Slack Off,Normal,SUPPORT,,0,,ENDURANCE,NATURE,User,The User restores 3 HP.
Slam,Normal,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,The User removes 2 Successes from the Accuracy Roll.
Slash,Normal,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,High Critical.
Sleep Powder,Grass,SUPPORT,,0,,SPECIAL,NATURE,Single Target,The Target is Asleep. Grass-Type Pokemon are Immune to Sleep Powder. The User removes 2 Successes from the Accuracy Roll.
Sleep Talk,Normal,SUPPORT,,0,,,,Random Foe,"While this User is Asleep, Sleep Talk uses one of the User's moves at random. Sleep Talk fails if the User is awake."
Sludge,Poison,SPECIAL,SPECIAL,2,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 8 or higher Poison the Target.
Sludge Bomb,Poison,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 8 or higher Poison the Target.
Sludge Wave,Poison,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Area,On a Chance Dice roll of 10 Poison the Target.
Smack Down,Rock,PHYSICAL,STRENGTH,2,,DEXTERITY,CHANNEL,Single Target,"Ranged. The Target is no longer Immune to Ground-Type moves. The Target can be affected by Entry Hazards, and Terrains. Smack Down can still target Pokemon that are charging the moves Fly, Bounce, and Sky Drop."
Smart Strike,Steel,PHYSICAL,STRENGTH,3,,CLEVER,BRAWL,Single Target,Never Fail.
Smelling Salts,Normal,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Add 2 extra dice to the Damage Pool if the Target is Paralyzed. The Target is cured from Paralysis.
Smog,Poison,SPECIAL,SPECIAL,1,,SPIRIT,CHANNEL,Single Target,On a Chance Dice roll of 7 or higher Poison the Target. The User removes 3 Successes from the Accuracy Roll.
Smokescreen,Normal,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,Decrease the Target's Accuracy by 1
Snap Trap,Grass,PHYSICAL,STRENGTH,2,,CLEVER,STEALTH,Single Target,"Block. Deal 1 Neutral damage at the end of the Turn. This effect does not stack with other similar moves. Lasts for 5 Turns, unless the User is switched."
Snarl,Dark,SPECIAL,SPECIAL,2,,TOUGH,INTIMIDATE,Multiple Targets,Sound Based. Decrease the Target's Special by 1. The User removes 1 Success from the Accuracy Roll.
Snatch,Dark,SUPPORT,,0,,CLEVER,STEALTH,Single Target,"Priority +4. When a Pokémon (including an Ally) perfroms a Status move that adds a positive effect to a Pokemon (Ie. Substitute, Bulk Up, Lucky Chant, Ingrain, Etc), the User of Snatch gains the effects instead of the move's original User. The original User still uses an Action, and the move fails. Snatch can not be Evaded and ignores the User's Accuracy decreases."
Snipe Shot,Water,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Single Target,High Critical. Ignore any effects from moves or Abilities that would prevent Snipe Shot from targeting a Target.
Snore,Normal,SPECIAL,SPECIAL,2,,SPECIAL,PERFORM,Single Target,On a Chance Dice roll of 8 or higher Flinch the Target. Snore fails if the User is awake.
Snowscape,Ice,SUPPORT,,,,SPIRIT,NATURE,Battlefield,Begin the effects of Hail. Lasts for 5 Turns.
Soak,Water,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,"The Target's Types are changed to Water-Type, for as long as the Target is on the Battlefield."
Soft Boiled,Normal,SUPPORT,,0,,SPIRIT,NATURE,User,The User restores 3 HP.
Solar Beam,Grass,SPECIAL,SPECIAL,5,,SPECIAL,CHANNEL,Single Target,"Charge Move. If Sunny Weather is in effect, skip Solar Beam's Charge Action. If Rain/Sandstorm/Hail are in effect Solar Beam has a Base Power of 2 instead of 5."
Solar Blade,Grass,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Single Target,"Charge Move. If Sunny Weather is in effect, skip Solar Blade's Charge Action. If Rain/Sandstorm/Hail are in effect Solar Blade has a Base Power of 2 instead of 5."
Sonic Boom,Normal,SPECIAL,,0,,SPECIAL,CHANNEL,Single Target,"Sonic Boom deals 2 Normal-Type damage. Ignoring the Target's Defences. Sonic Boom can not be a Critical Hit. Sonic Boom is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Sonic Boom can not be a Critical Hit. Sonic Boom is unaffected by STAB, Super Effective, and Resistance, Immunities still apply. Sonic Boom can not be Clashed. The User removes 1 Success from the Accuracy Roll."
Spacial Rend,Dragon,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Single Target,High Critical. The User removes 1 Success from the Accuracy Roll.
Spark,Electric,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Paralyze the Target.
Sparkling Aria,Water,SPECIAL,SPECIAL,3,,BEAUTY,PERFORM,Area,"Sound Based. If the Target is Burned, the Target ignores the damage of Sparkling Aria. The Target is cured of Burn."
Spectral Thief,Ghost,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,"Before the User deals damage, remove all of the Target's Stat increases, and increase the User's Stat with the same increases that were removed from the Target. Decreased Stats remain on the Target."
Speed Swap,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,The User's Dexterity increases and decreases are swapped with the Target's Dexterity increases and decreases. Speed Swap can not be Evaded and ignores the User's Accuracy decreases.
Spicy Extract,Grass,SUPPORT,,,,TOUGH,NATURE,Single Target,"Decrease the Target’s Defense by 2, and increase the Target’s Strength by 2. Spicy Extract can not be Evaded and ignores the User's Accuracy decreases."
Spider Web,Bug,SUPPORT,,0,,SPIRIT,STEALTH,Battlefield,Block.
Spike Cannon,Normal,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Ranged. Successive Actions.
Spikes,Ground,SUPPORT,,0,,CLEVER,NATURE,Battlefield,"Entry Hazard. Foe Pokémon that enter the Battlefield take 1 Neutral damage, this effect stacks up to 3 times. Flying-Type Pokemon, Pokemon with the Ability Levitate, Pokemon holding an Air Ballon, and Pokemon under the effects of Magnet Rise or Telekinesis are unaffected by Spikes."
Spiky Shield,Grass,SUPPORT,,0,,ENDURANCE,NATURE,User,"Priority +4. Shield Move. Decrease any damage the User would receive from all Actions by a Physical or Special move to zero, and deal 2 neutral Damage to the attacker if it used a non Ranged Physical move. Spiky Shield stops all OHKO moves."
Spin Out,Steel,PHYSICAL,STRENGTH,4,,DEXTERITY,BRAWL,Single Target,Decrease the User’s Dexterity by 2.
Spirit Break,Fairy,PHYSICAL,STRENGTH,2,,TOUGH,INTIMIDATE,Single Target,Decrease the Target's Special by 1.
Spirit Shackle,Ghost,PHYSICAL,STRENGTH,3,,DEXTERITY,STEALTH,Single Target,Block.
Spit Up,Normal,SPECIAL,SPECIAL,4,,ENDURANCE,NATURE,Single Target,Spit Up’s Base Power is multiplied by the amount times the User has used Stockpile. The User loses all the effects of Stockpile. Spit Up fails if the User is not affected by Stockpile.
Spite,Ghost,SUPPORT,,0,,WILL,INTIMIDATE,Single Target,"Decrease the Target's Will by 3, Spite can not decrease a Target’s Will past 1. Reset any effects the Target got from spending Will, including Pain Penalties."
Splash,Normal,SUPPORT,,0,,DEXTERITY,BRAWL,User,-
Spore,Grass,SUPPORT,,0,,SPECIAL,NATURE,Single Target,The Target is Asleep. Grass-Type Pokemon are Immune.
Spotlight,Normal,SUPPORT,,0,,COOL,PERFORM,Single Target,Priority +3. The Target redirects all moves from the Target's Foe's Pokemon to Target of Spotlight instead of the intended Targets.
Springtide Storm,Fairy,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Multiple Targets,On a Chance Dice roll of 8 or higher decrease the Target’s Strength by 1. The User removes 2 Successes from the Accuracy Roll. 
Stealth Rock,Rock,SUPPORT,,0,,CLEVER,STEALTH,Battlefield,"Entry Hazard. Foe Pokémon that enter the Battlefield take 1 Rock-Type damage, This effect does not stack with itself."
Steam Eruption,Water,SPECIAL,SPECIAL,4,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 8 or higher Burn the Target. The User removes 1 Success from the Accuracy Roll.
Steamroller,Bug,PHYSICAL,STRENGTH,2,,ENDURANCE,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Flinch the Target.
Steel Beam,Steel,SPECIAL,SPECIAL,6,,SPECIAL,CHANNEL,Single Target,"The User receives damage equal to half of the User's Max HP, rounded down."
Steel Roller,Steel,PHYSICAL,STRENGTH,5,,STRENGTH,NATURE,Single Target,Remove the effects of all Terrains. If there is no Terrain in effect Steel Roller fails. 
Steel Wing,Steel,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 10 Increase the User’s Defense by 1. The User removes 1 Success from the Accuracy Roll.
Sticky Web,Bug,SUPPORT,,0,,SPIRIT,NATURE,Battlefield,"Entry Hazard. Decrease the Dexterity of the Foe Pokémon that enter the Battlefield by 1. Flying-Type Pokemon, Pokemon with the Ability Levitate, Pokemon holding an Air Balloon, and Pokemon under the effects of Magnet Rise or Telekinesis are unaffected by this Sticky Web."
Stockpile,Normal,SUPPORT,,0,,SPIRIT,NATURE,User,Increase the User’s Defense and Special Defense by 1.
Stomp,Normal,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 8 or higher Flinch the Target.
Stomping Tantrum,Ground,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,Add 3 extra dice to the Damage Pool if the User's last Accuracy Roll failed.
Stone Axe,Rock,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,High Critical. Set up the effects of Stealth Rock.
Stone Edge,Rock,PHYSICAL,STRENGTH,4,,STRENGTH,CHANNEL,Single Target,Ranged. High Critical. The User removes 2 Successes from the Accuracy Roll.
Stored Power,Psychic,SPECIAL,SPECIAL,1,,DEXTERITY,CHANNEL,Single Target,Add 1 Extra Dice to the Damage Pool for each Increased point on the user’s Attributes. (i.e. Clefairy has 1 increased Point in Defense and 1 in Special. Stored Power will have 2 Extra Dice on the Damage Pool). Up to 7 Dice may be added this way.
Storm Throw,Fighting,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,If the Accuracy Roll is successful Storm Throw becomes a Critical Hit.
Strange Steam,Fairy,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 9 or higher Confuse the Target. The User removes 1 Success from the Accuracy Roll.
Strength,Normal,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,-
Strength Sap,Grass,SUPPORT,,0,,SPIRIT,NATURE,Single Target,Decrease the Target's Strength by 1. The User restores HP equal to the Target's Strength before Strength Sap's Strength decrease. 
String Shot,Bug,SUPPORT,,0,,SPIRIT,NATURE,Multiple Targets,Decrease the Target's Dexterity by 2.
Struggle Bug,Bug,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Multiple Targets,Decrease the Target's Special by 1.
Stuff Cheeks,Normal,SUPPORT,,0,,CLEVER,NATURE,User,The User consumes its Held Berry and gains the Held Berry's effects. Increase User’s Defense by 2.
Stun Spore,Grass,SUPPORT,,0,,SPECIAL,NATURE,Single Target,The Target is Paralyzed. Grass-Type Pokemon are Immune to Stun Spore. The User removes 2 Successes from the Accuracy Roll.
Submission,Fighting,PHYSICAL,STRENGTH,3,,STRENGTH,ATHLETICS,Single Target,Recoil Move. The User receives 2 Neutral damage. The User removes 2 Successes from the Accuracy Roll.
Substitute,Normal,SUPPORT,,0,,CLEVER,STEALTH,User,"The User receives 2 Neutral damage and places a Substitute with 3 HP on the Battlefield with the User's Defenses. If the Substitute's HP is depleted, it disappears and the Ally can be targeted again. The Substitute can only be affected by Physical and Special moves, additonal effects do not affect the Substitute. "
Sucker Punch,Dark,PHYSICAL,STRENGTH,3,,DEXTERITY,STEALTH,Single Target,"Priority +1. Sucker Punch can only be used after the Target rolls a Physical or Special move. The Target can not Evade or Clash Sucker Punch, other Pokemon may still Clash Sucker Punch for the Target."
Sunny Day,Fire,SUPPORT,,0,,SPIRIT,NATURE,Battlefield,Begin the effects of Sunny Weather. Lasts for 5 Turns.
Sunsteel Strike,Steel,PHYSICAL,STRENGTH,4,,STRENGTH,BRAWL,Single Target,Sunsteel Strike ignores the effects of the Target's Ability.
Super Fang,Normal,SUPPORT,,0,,DEXTERITY,BRAWL,Single Target,"The User deals damage equal to half of the Target's remaining HP, Turned up. If the remaining HP of the Target is 1, Super Fang fails. Ignore the Target's Defenses. Super Fang can not be a Critical Hit, and is unaffected by STAB. Super Fang is not affected by Weakness, or Resistance, Immunities still apply. Super Fang can not be Clashed. The User removes 1 Success from the Accuracy Roll."
Superpower,Fighting,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Single Target,Decrease the User’s Strength and Defense by 1.
Supersonic,Normal,SUPPORT,,0,,TOUGH,CHANNEL,Single Target,Sound Based. The Target is Confused. The User removes 4 Successes from the Accuracy Roll.
Surf,Water,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Area,Add 2 extra damage dice to the Damage Pool if the Target is charging the move Dive.
Swagger,Normal,SUPPORT,,0,,TOUGH,INTIMIDATE,Single Target,Increase the Target's Strength by 2. The Target is Confused. The User removes 1 Success from the Accuracy Roll.
Swallow,Normal,SUPPORT,,0,,ENDURANCE,NATURE,User,The User restores 1 HP if the User is under the effects of one Stockpile. The User restores 3 HP if the User is under the effects of two Stockpiles. The User restores 5 HP if the User is under the effects of three Stockpiles. The User loses all the effects of Stockpile. Swallow fails if the User is not affected by Stockpile.
Sweet Kiss,Fairy,SUPPORT,,0,,CUTE,ALLURE,Single Target,The Target is Confused. The User removes 2 Successes from the Accuracy Roll.
Sweet Scent,Normal,SUPPORT,,0,,SPECIAL,NATURE,Multiple Targets,Decrease the Target's Evasion by 2.
Swift,Normal,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Multiple Targets,Swift can not be Evaded and ignores the User's Accuracy decreases.
Switcheroo,Dark,SUPPORT,,0,,SPIRIT,STEALTH,Single Target,"The User and the Target switch their Held Items. If only one Pokémon is holding an Item, the other Pokemon receives nothing."
Swords Dance,Normal,SUPPORT,,0,,DEXTERITY,PERFORM,User,Increase the User’s Strength by 2.
Synchronoise,Psychic,SPECIAL,SPECIAL,5,,SPECIAL,PERFORM,Area,"Sound Based. Synchronoise can only damage Allies and Foes that share at least one Type with the User. If the User has multiple Types, any Allies and Foes that has any of those types will be damaged. "
Synthesis,Grass,SUPPORT,,0,,BEAUTY,NATURE,User,The User restores 3 HP. If Synthesis is performed under the effects of Sunny Weather the User restores 4 HP instead. If Synthesis is performed under the effects of Rain/Sandstorm/Hail Synthesis restores 2 HP instead.
Tackle,Normal,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,-
Tail Glow,Bug,SUPPORT,,0,,SPIRIT,NATURE,User,Increase the User’s Special by 3.
Tail Slap,Normal,PHYSICAL,STRENGTH,1,,STRENGTH,BRAWL,User,Successive Actions. The User removes 1 Success from the Accuracy Roll.
Tail Whip,Normal,SUPPORT,,0,,CUTE,PERFORM,Multiple Targets,Decrease the Target’s Defense by 1.
Tailwind,Flying,SUPPORT,,0,,SPIRIT,NATURE,Battlefield,Increase the User's and Allies' Dexterity by 2. Lasts for 5 Turns.
Take Down,Normal,PHYSICAL,STRENGTH,3,,STRENGTH,BRAWL,Single Target,Recoil Move. The User receives 2 Neutral damage. The User removes 1 Success from the Accuracy Roll.
Take Hearts,Psychic,SPECIAL,SPECIAL,2,,CUTE,ALLURE,Single Target,The Ally is cured from all Status Conditions. Increase the Ally's Strength and Defense by 1.
Tar Shot,Rock,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,Decrease the Target’s Dexterity by 1. Physical and Special Fire-Type moves deal Super Effective damage against the Target as long as the Target stays on the Battlefield.
Taunt,Dark,SUPPORT,,0,,CUTE,INTIMIDATE,Single Target,The Target can not perform Support moves for the next 5 Turns.
Tearful Look,Normal,SUPPORT,,0,,CUTE,ALLURE,Single Target,Decrease Target’s Strength and Special by 1. Tearful Look can not be Evaded and ignores the User's Accuracy decreases.
Teatime,Normal,SUPPORT,,0,,SPIRIT,ETIQUETTE,Area,The Target consumes its Held Berry without gaining the Held Berry's effects.
Techno Blast,Normal,SPECIAL,SPECIAL,5,,SPECIAL,CHANNEL,Single Target,"Techno Blast's Type will change to: Fire, Ice, Water, or Electric depending on the Driver the User has as a Held Item. Techno Blast fails if the User is not Genesect."
Teeter Dance,Normal,SUPPORT,,0,,DEXTERITY,PERFORM,Area,The Target is Confused.
Telekinesis,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,The Target is Immune to Ground-Type moves. While effected by Telekinesis the Target can not Evade. Telekinesis can not be Evaded and ignores the User's Accuracy decreases. Lasts for 2 Turns. 
Teleport,Psychic,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,User Switcher Move.
Tera Blast (Physical),Normal,PHYSICAL,STRENGTH,3,,SPIRIT,NATURE,Single Target,"If the User has Terastallized, the User can add either the User's Strength or Special to the Damage Pool of Tera Blast. If Tera Blast uses Strength, Tera Blast makes contact and is Physical. If Tera Blast is Special based, Tera Blast is ranged and is Special. The Typing of Tera Blast changes to the Type the User has Terastallized into, if the User has not Terastallized, Tera Blast is Normal."
Tera Blast (Special),Normal,SPECIAL,SPECIAL,3,,SPIRIT,NATURE,Single Target,"If the User has Terastallized, the User can add either the User's Strength or Special to the Damage Pool of Tera Blast. If Tera Blast uses Strength, Tera Blast makes contact and is Physical. If Tera Blast is Special based, Tera Blast is ranged and is Special. The Typing of Tera Blast changes to the Type the User has Terastallized into, if the User has not Terastallized, Tera Blast is Normal."
Terrain Pulse,Normal,SPECIAL,SPECIAL,2,,SPIRIT,NATURE,Single Target,Add 2 extra dice to the Damage Pool if there is a Terrain in effect. Terrain Pulse’s Type changes to match the Type of the Terrain.
Thief,Dark,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,The User steals the Target's Held Item.
Thousand Arrows,Ground,PHYSICAL,STRENGTH,3,,STRENGTH,CHANNEL,Multiple Targets,"Ranged. Thousand Arrows can target Flying-Type Pokemon, Pokemon with the Ability Levitate, Pokemon holding an Air Ballon, and Pokemon under the effects of Magnet Rise or Telekinesis . If the Target is Immune to Ground-Type moves, the Target loses its Immunity to Ground-Type moves until they leave the Battlefield."
Thousand Waves,Ground,PHYSICAL,STRENGTH,3,,SPECIAL,BRAWL,Multiple Targets,Ranged. Block.
Thrash,Normal,PHYSICAL,STRENGTH,5,,STRENGTH,BRAWL,Random Foe,Rampage. Thrash targets a random Foe.
Throat Chop,Dark,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,The Target can not perform any Sound Based moves for as long as they stay on the Battlefield.
Thunder,Electric,SPECIAL,SPECIAL,5,,SPECIAL,CHANNEL,Single Target,"On a Chance Dice roll of 8 or higher Paralyze the Target. If Rain is in effect, Thunder can not be Evaded, ignores the User's Accuracy decreases, and ignore Thunder's removed successes. If Sunny Weather is in effect, the User removes 2 additional Successes from Thunder's Accuracy Roll. Thunder can still target Pokemon that are charging the moves Fly, Bounce, and Sky Drop. The User removes 3 Successes from the Accuracy Roll."
Thunder Cage,Electric,SPECIAL,SPECIAL,3,,DEXTERITY,STEALTH,Single Target,"Deal 1 Neutral damage at the end of the Turn. This effect does not stack with other similar moves. Lasts for 5 Turns, unless the User is switched."
Thunder Fang,Electric,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,On a Chance Dice roll of 10 Flinch the Target. On a Chance Dice roll of 10 Paralyze the Target. The User removes 1 Success from the Accuracy Roll.
Thunder Punch,Electric,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Fist Based. On a Chance Dice roll of 10 Paralyze the Target. 
Thunder Shock,Electric,SPECIAL,SPECIAL,2,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 10 Paralyze the Target.
Thunder Wave,Electric,SUPPORT,,0,,SPIRIT,NATURE,Single Target,The Target is Paralyzed. Ground-Type Pokemon are Immune. The User removes 1 Success from the Accuracy Roll. 
Thunderbolt,Electric,SPECIAL,SPECIAL,3,,SPECIAL,CHANNEL,Single Target,On a Chance Dice roll of 10 Paralyze the Target.
Thunderous Kick,Fighting,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Decrease the Target's Physical Defense by 1
Tickle,Normal,SUPPORT,,0,,CUTE,ALLURE,Single Target,Decrease the Target’s Strength and Defense by 1.
Tidy Up,Normal,SUPPORT,,,,BEAUTY,ETIQUETTE,User,"Increase the User’s Strength and Dexterity by 1. Remove all Entry Hazards (Spikes, Stealth Rock, etc.) and any Substitutes from both sides of the Battlefield."
Topsy-Turvy,Dark,SUPPORT,,0,,CLEVER,NATURE,Single Target,"If the Target has any increased Stats, they become decreases instead. If the Target has any decreased Stats, they become increases instead. Topsy-Turvy can not be Evaded and ignores the User's Accuracy decreases."
Torch Song,Fire,SPECIAL,SPECIAL,3,,SPECIAL,PERFORM,Single Target,Increase the User’s Special by 1.
Torment,Dark,SUPPORT,,0,,TOUGH,INTIMIDATE,Single Target,"The Target can not perform the same moves the Target used during the last Turn, this includes moves used for Clashing. Struggle is not affected. Lasts for 5 Rounds."
Toxic,Poison,SUPPORT,,0,,SPECIAL,CHANNEL,Single Target,"The Target is Badly Poisoned. If the User is a Poison-Type, Toxic can not be Evaded, ignores the User's Accuracy decreases, and ignore Toxic's removed success. The User removes 1 Success from the Accuracy Roll. "
Toxic Spikes,Poison,SUPPORT,,0,,CLEVER,STEALTH,Battlefield,"Entry Hazard. The Foe Pokémon that enter the Battlefield are Poisoned. If the effects of Toxic Spikes are already on the Battlefield and Toxic Spikes is used again, any Foe Pokemon that enter the Battlefield become Badly Poisoned instead. When a Poison Type Pokemon enters the Battlefield, and is affected by Toxic Spikes, remove Toxic Spikes from that Pokemon’s side of the Battlefield. Flying-Type Pokemon, Pokemon with the Ability Levitate, Pokemon holding an Air Balloon, and Pokemon under the effects of Magnet Rise or Telekinesis are unaffected by Toxic Spikes."
Toxic Thread,Poison,SUPPORT,,0,,DEXTERITY,CHANNEL,Single Target,The Target is Poisoned. Decrease the Target's Dexterity by 1.
Trailblaze,Grass,PHYSICAL,STRENGTH,2,,DEXTERITY,BRAWL,Single Target,Increase the User’s Dexterity by 1.
Transform,Normal,SUPPORT,,0,,WILL,CHANNEL,User,"The User transforms into a copy of the Target with the same Ability, Stats, Stat increases, Stat decreases, and Moves. Remove all Stat increases and decreases from the User. The User's HP stays the same. The User keeps all Status Conditions, and Ailments the User had before the User transformed. This effect last for as long as the User is on the Battlefield."
Tri Attack,Normal,SPECIAL,SPECIAL,3,,DEXTERITY,CHANNEL,Single Target,On a Chance Dice roll of 9 or higher Paralyze the Target. On a Chance Dice roll of 9 or higher Apply Burn to the Target. On a Chance Dice roll of 9 or higher Frostbite the Target. Tri Attack's Chance Dice are always rolled in the same order.
Trick,Psychic,SUPPORT,,0,,CUTE,ALLURE,Single Target,The User's Held Item is swapped with the Target's Held Item.
Trick Room,Psychic,SUPPORT,,0,,CLEVER,ETIQUETTE,Battlefield,"Invert the Initiative order. If Trick Room is used again while the effects are already active, the effects end early. Lasts for 5 Turns."
Trick-or-Treat,Ghost,SUPPORT,,0,,WILL,ALLURE,Single Target,"Add the Ghost-Type to the Target's Type. (Ie. Meowth will be Normal/Ghost, Charizard will be Fire/Flying/Ghost) If the Pokémon already has a third type, replace it with Ghost."
Triple Arrow,Fighting,PHYSICAL,STRENGTH,3,,DEXTERITY,STEALTH,Single Target,High Critical. On a Chance Dice roll of 8 or higher Flinch the Target. On a Chance Dice roll of 6 or higher decrease the Target’s Defense by 1.
Triple Axel,Ice,PHYSICAL,STRENGTH,1,,STRENGTH,PERFORM,Single Target,Triple Action. Every Action after the first success gains 1 extra damage dice to the Damage Pool.  Accuracy -1
Triple Dive,Water,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Triple Action.
Triple Kick,Fighting,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Successive Actions. Add 1 Extra Dice to the Damage Pool to the last kick performed. The User removes 1 Success from the Accuracy Roll.
Trop Kick,Grass,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,Decrease Target’s Strength by 1.
Trump Card,Normal,SPECIAL,SPECIAL,2,,WILL,CHANNEL,Single Target,"Add 1 extra dice to the Damage Roll if the User is at half Will, rounded down. Add 8 extra dice to the Damage Pool if the User's Will is at 0. Trump Card can not be Evaded and ignores the User's Accuracy decreases."
Twin Beam,Psychic,SPECIAL,SPECIAL,2,,SPIRIT,CHANNEL,Single Target,Double Action.
Twineedle,Bug,PHYSICAL,STRENGTH,1,,DEXTERITY,BRAWL,Single Target,Ranged. Double Action. On a Chance Dice roll of 9 or higher Poison the Target.
Twister,Dragon,SPECIAL,SPECIAL,2,,DEXTERITY,CHANNEL,Multiple Targets,"On a Chance Dice roll of 9 or higher Flinch the Targets. Twister can still target Pokemon that are charging the moves Fly, Bounce, and Sky Drop. Double the Base Power of Twister if the Target is charging Fly, Bounce, or Sky Drop. "
U-Turn,Bug,PHYSICAL,STRENGTH,3,,DEXTERITY,BRAWL,Single Target,User Switcher Move.
